(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/David_Naylor>) (14,0) :	sim: 0.717
	<http://dbpedia.org/property/name> ( 51 ) : 0.167	16.7%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.167	16.7%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.167	16.7%
(<http://dbpedia.org/resource/Kent_State_University>,<http://dbpedia.org/resource/David_Naylor>) (8,0) :	sim: 0.329
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Barbara_Snyder>) (16,14) :	sim: 0.327
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Lester_Lefton>) (16,4) :	sim: 0.324
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/David_Naylor>) (16,0) :	sim: 0.316
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Kent_State_University>,<http://dbpedia.org/resource/Cleveland>) (8,6) :	sim: 0.305
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.143	14.3%
	<http://dbpedia.org/property/motto> ( 48 ) : 0.143	14.3%
	<http://dbpedia.org/property/name> ( 51 ) : 0.143	14.3%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.143	14.3%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.143	14.3%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.143	14.3%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.143	14.3%
(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/Case_Western_Reserve_University>) (14,10) :	sim: 0.298
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Case_Western_Reserve_University>,<http://dbpedia.org/resource/David_Naylor>) (10,0) :	sim: 0.286
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Kent_State_University>,<http://dbpedia.org/resource/Toronto>) (8,2) :	sim: 0.282
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.143	14.3%
	<http://dbpedia.org/property/motto> ( 48 ) : 0.143	14.3%
	<http://dbpedia.org/property/name> ( 51 ) : 0.143	14.3%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.143	14.3%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.143	14.3%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.143	14.3%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.143	14.3%
(<http://dbpedia.org/resource/Case_Western_Reserve_University>,<http://dbpedia.org/resource/Cleveland>) (10,6) :	sim: 0.281
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.143	14.3%
	<http://dbpedia.org/property/motto> ( 48 ) : 0.143	14.3%
	<http://dbpedia.org/property/name> ( 51 ) : 0.143	14.3%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.143	14.3%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.143	14.3%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.143	14.3%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.143	14.3%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Cleveland>) (16,6) :	sim: 0.273
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.167	16.7%
	<http://dbpedia.org/property/name> ( 51 ) : 0.167	16.7%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.167	16.7%
